,M.2H.A,M.2H.B,M.2H.LPS,M.2H.CON,M.10H.A,M.10H.B,M.10H.LPS,M.10H.CON
P05064,1.104469932,1.17951044,0.983903235,1.10348946066667,0.753758672666667,0.841745008666667,0.952938057,0.810258413333333
P10639,0.977485938666667,0.969605333666667,0.970982252333333,1.08297482733333,0.944082927,0.994024966333333,1.04412057,1.10061599866667
Q6IWE2,0.711750905333333,0.783976199,0.806631209333333,0.759629688,1.39368042633333,1.321021972,1.36290493733333,1.190875736
P52480,1.0110987,1.01320676133333,0.98823207,1.03549608533333,1.007426981,0.977357071333333,0.976473235666667,0.996541653
O08997,0.991379486666667,1.03197734966667,0.970744857333333,1.0578598,0.966894664666667,0.968414614666667,0.933868463,0.998361671
Q3U9A8,0.922038762666667,0.926216841333333,0.969689668666667,1.01189385633333,1.004628306,1.04671444433333,1.04086727933333,1.00633376033333
Q3UJR8,1.06149760833333,1.07621039333333,1.02148151666667,1.064048456,0.946936279666667,0.895079987333333,0.937544701,0.970838197
P62869,1.00378557766667,0.968131186333333,1.00835105133333,1.005151527,1.008501485,0.938410149,0.991637885666667,1.02752284533333
Q3U6N7,0.951550926,0.945095225,0.933518433,0.995970032333333,1.01553558566667,1.052763625,1.074620619,1.03595629866667
Q6GT24,0.990051239333333,1.031146559,0.971188024666667,1.05875254033333,1.00823944333333,0.983529047666667,0.998797201,1.005703489
P48036,0.944541135666667,0.950103864333333,0.984859697666667,1.003135291,1.024121681,1.070533009,1.04993270666667,0.97535512
P17742,0.952921482333333,0.925860205,0.968825279,0.974089716,1.05367496266667,1.027375812,1.04929412133333,1.04945949066667
P18760,1.02737775866667,1.00113784033333,0.977258329,1.066127697,0.99654858,0.937375476666667,1.00488938566667,1.01426959366667
P20152,0.955614756,1.103006616,1.07429529666667,0.890851494333333,0.987729157333333,1.06751091633333,0.997956951,0.914950529333333
Q3TFD9,0.979107383666667,1.105919857,1.069471575,0.942185284666667,0.963836531333333,1.19200958266667,1.00442103266667,0.860485966666667
P62908,0.963501606,0.952672716,0.964877069333333,1.002718278,1.05807141833333,1.05555761333333,1.05216017466667,1.03259442133333
P48024,1.24863968933333,1.473553385,0.988109347,1.19185881566667,0.740434808333333,0.679179366,0.774881147,0.712414066333333
Q50HX0,1.120204868,1.14594655533333,1.01407689833333,1.13100690966667,0.877103356666667,0.766870273,0.870002716666667,0.995588717
P15532,0.959871068333333,0.947119325666667,0.969430850333333,1.04021372333333,1.02367530933333,1.000465356,1.002168782,1.04486096966667
B0LAA9,0.854077163333333,0.886300819,0.800356154,0.911048455666667,1.10792141333333,1.154427214,1.160812188,1.210347706
A6ZI44,1.02207832233333,0.904842338,1.08456110266667,0.943539945,1.12330544933333,1.11575299166667,1.01600484366667,0.977030818333333
Q3THB4,1.01446642866667,1.10354024666667,1.07174669333333,1.33090959833333,0.835300074,0.864696096,0.850374217666667,0.853919198666667
Q3TCI7,1.06893523833333,1.06789790233333,1.050262405,1.07195047233333,0.901517348333333,0.89857992,0.918058476333333,0.897172651333333
P35700,1.0076327,0.970278850666667,0.986588561,1.089244691,0.983561579333333,0.961544926333333,1.03031040766667,1.002956632
E9PZF0,1.05954035566667,1.026433884,0.945836853333333,1.147065944,0.942988175333333,0.900204247333333,0.982117105666667,1.010216588
Q5SW88,1.00106058066667,1.02985333,0.980209346,1.08380259333333,0.960039863333333,0.937552968333333,0.990305060333333,0.997781867
Q91XV3,0.957283368333333,1.00759168866667,0.915271831,1.04662747566667,0.975299448666667,0.910482322333333,1.14522630566667,0.994098939666667
P99027,1.004811952,1.00207582966667,0.969911291333333,1.0205625,1.00059635166667,0.972973165333333,1.04094001233333,1.03120721466667
P67778,1.00597865266667,0.995061815333333,1.01941817133333,1.03269388966667,1.00931814233333,0.994745416666667,0.929918655333333,0.996433206333333
P10126,1.005720283,0.972095884,0.973991887666667,1.06530941133333,0.979646607,0.974539787333333,1.01258483466667,1.03782125433333
P70349,1.053459197,1.03181869966667,1.01336318833333,1.08439764,0.997279573666667,0.937975174666667,0.946969303666667,0.986072832333333
P63038,1.001258793,0.973230409666667,0.981294557333333,1.04737360233333,0.984596857333333,0.984591355333333,0.997198244666667,1.036279916
P80314,1.01512719133333,0.986840389,0.988049329666667,1.00220499066667,0.993677915333333,0.994281055666667,1.00682778166667,1.00099968033333
Q61599,1.03610534466667,1.022837099,0.932492299666667,1.112444686,0.919260144666667,0.90824404,0.967424318333333,0.993154526333333
Q9D1G1,1.03884625833333,1.00978224766667,1.001635247,1.09268538166667,0.988467168333333,0.918143135,0.904609614333333,1.03375117866667
P62889,0.983890227666667,0.990314085,1.008575163,1.003048841,1.00887279066667,1.03883679733333,0.993304486333333,1.000162941
Q9CQ65,0.976642409,1.01263206633333,1.02240825066667,0.962445629333333,1.02539705233333,1.09256297966667,0.992971155666667,0.993170602666667
